lexeme_id	form_side	reference	verse_id	token_index	surface_form	normalized_form	segmentation	gloss_span	lemma	pos	local_context	kjv	environment	lexical_category	example_quality	reason_selected	blocking_or_caveat_notes
gamla-gamlat	form_i	Judges 18:28	07018028	4	gamla	gamla	gam-la	wilderness	gam	N	pen Sidon panin [gamla] uh ahih manin	And there was no deliverer, because it was far from Zidon, and they had no business with any man; and it was in the valley that lieth by Beth-rehob. And they built a city, and dwelt therein.	finite_main_or_matrix	noun_or_nominal_compound	blocked_nonverbal	Best available audit row for a blocked nominal or compound-like analyzer pair.	nominal_or_compound_examples_only Blocked noisy material includes kigamlasak. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
gamla-gamlat	form_ii	Psalms 103:12	19103012	5	gamlat	gamlat	gamlat	wilderness	gamla	N	nitumna panin a [gamlat] mah bangin i	As far as the east is from the west, So far hath he removed our transgressions from us.	unknown_or_needs_review	noun_or_nominal_compound	blocked_nonverbal	Best available audit row for a blocked nominal or compound-like analyzer pair.	nominal_or_compound_examples_only Blocked noisy material includes kigamlasak. No conservative local environment rule fired for this token. Review-bucket rows never count as print-ready evidence.
gen-genh	form_i	Zephaniah 3:8	36003008	5	gen	gen	gen	speak	gen	V	hih bangin thu [gen] a “Tua ahih	Therefore wait ye upon me, saith the LORD , until the day that I rise up to the prey: for my determination is to gather the nations, that I may assemble the kingdoms, to pour upon them mine indignation, even all my fierce anger: for all the earth shall be devoured with the fire of my jealousy.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best clean verbal form i row after lexical-category filtering.	no_clean_form_ii_verb_example Blocked noisy material includes gensak, kigensak, gentheisak, gensakin. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
hawlkhia-hawlkhiat	form_i	Zephaniah 3:11	36003011	27	hawlkhia	hawlkhia	hawlkhia	drive.out	hawlkhia	V	kihisak mite ka [hawlkhia] ding a Jerusalem	In that day shalt thou not be ashamed for all thy doings, wherein thou hast transgressed against me: for then I will take away out of the midst of thee them that rejoice in thy pride, and thou shalt no more be haughty because of my holy mountain.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best clean verbal form i row after lexical-category filtering.	no_clean_form_ii_verb_example Blocked noisy material includes hawlkhiasak, hawlkhiatsakte. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
hawlkhia-hawlkhiat	form_ii	Mark 11:15	41011015	17	hawlkhiat	hawlkhiat	hawl-khiat	persecute	hawl	N	sumlei-a a omte [hawlkhiat] ding kipan a	And they come to Jerusalem: and Jesus went into the temple, and began to cast out them that sold and bought in the temple, and overthrew the tables of the moneychangers, and the seats of them that sold doves;	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best currently available audit row pending manual philological review.	no_clean_form_ii_verb_example Blocked noisy material includes hawlkhiasak, hawlkhiatsakte. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
hi-hi	form_i	Zephaniah 3:9	36003009	24	hi	hi	hi	DECL	hi	FUNC	sem ding uh [hi]	For then will I turn to the people a pure language, that they may all call upon the name of the LORD , to serve him with one consent.	finite_main_or_matrix	same_form_questionnaire_control	questionnaire_control	Best Bible attestation for a same-form questionnaire control.	same_written_form_no_overt_alternation Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II. Questionnaire-only exact-form scan; not part of the analyzer pair inventory. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Questionnaire maps the same surface form to both slots.
hi-hih	form_i	Zephaniah 3:9	36003009	24	hi	hi	hi	DECL	hi	FUNC	sem ding uh [hi]	For then will I turn to the people a pure language, that they may all call upon the name of the LORD , to serve him with one consent.	finite_main_or_matrix	auxiliary_or_functional_verb	descriptive_with_caveat	Best clean verbal form i row after lexical-category filtering.	category_mismatch Blocked noisy material includes hihsak, kihihsakna, kihisakin, kihihsakpih. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
hi-hih	form_ii	Zechariah 1:21	38001021	3	hih	hih	hih	this	hi	DET	Hih mite bang [hih] ding ahi hiam	Then said I, What come these to do? And he spake, saying, These are the horns which have scattered Judah, so that no man did lift up his head: but these are come to fray them, to cast out the horns of the Gentiles, which lifted up their horn over the land of Judah to scatter it.	finite_main_or_matrix	auxiliary_or_functional_verb	descriptive_with_caveat	Best currently available audit row pending manual philological review.	category_mismatch Blocked noisy material includes hihsak, kihihsakna, kihisakin, kihihsakpih. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
hoih-hoih	form_i	Titus 3:8	56003008	37	hoih	hoih	hoih	good	hoih	ADJ	hong thugente a [hoih] hi a mite	This is a faithful saying, and these things I will that thou affirm constantly, that they which have believed in God might be careful to maintain good works. These things are good and profitable unto men.	finite_main_or_matrix	same_form_questionnaire_control	questionnaire_control	Best Bible attestation for a same-form questionnaire control.	same_written_form_no_overt_alternation Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II. Questionnaire-only exact-form scan; not part of the analyzer pair inventory. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Questionnaire maps the same surface form to both slots.
hong-hong	form_i	Zephaniah 3:9	36003009	14	hong	hong	hong	3→1	hong	V	tung bekah thu [hong] ngenin lungsim kikhatin	For then will I turn to the people a pure language, that they may all call upon the name of the LORD , to serve him with one consent.	finite_main_or_matrix	same_form_questionnaire_control	questionnaire_control	Best Bible attestation for a same-form questionnaire control.	same_written_form_no_overt_alternation Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II. Questionnaire-only exact-form scan; not part of the analyzer pair inventory. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Questionnaire maps the same surface form to both slots.
honkhia-honkhiat	form_i	Zephaniah 1:18	36001018	14	honkhia	honkhia	honkhia	deliver	honkhia	V	khamte un amaute [honkhia] zo lo ding	Neither their silver nor their gold shall be able to deliver them in the day of the LORD 's wrath; but the whole land shall be devoured by the fire of his jealousy: for he shall make even a speedy riddance of all them that dwell in the land.	compound_or_lexicalized	lexicalized_or_category_mixed	blocked_noise	Best available difficult-case row from a lexicalized or category-mixed family.	category_mismatch Current evidence behaves as lexicalized or category-mixed rather than as a clean pedagogical stem pair. Blocked noisy material includes honkhia, kihonkhia, kihonkhiazo, kihonkhia-in. This pair is currently treated as lexicalized or category-mixed rather than as simple stem evidence. Derived or lexicalized environments stay excluded at the row level even when the pair is retained for review.
honkhia-honkhiat	form_ii	Revelation 6:1	66006001	11	honkhiat	honkhiat	honkhiat	bring.out	honkhia	V	panin khat a [honkhiat] ka mu hi	And I saw when the Lamb opened one of the seals, and I heard, as it were the noise of thunder, one of the four beasts saying, Come and see.	compound_or_lexicalized	lexicalized_or_category_mixed	blocked_noise	Best available difficult-case row from a lexicalized or category-mixed family.	category_mismatch Current evidence behaves as lexicalized or category-mixed rather than as a clean pedagogical stem pair. Blocked noisy material includes honkhia, kihonkhia, kihonkhiazo, kihonkhia-in. This pair is currently treated as lexicalized or category-mixed rather than as simple stem evidence. Derived or lexicalized environments stay excluded at the row level even when the pair is retained for review.
hu-huh	form_i	Zechariah 9:8	38009008	6	hu	hu	hu	help	hu	V	gam sung ka [hu] ding a galte	And I will encamp about mine house because of the army, because of him that passeth by, and because of him that returneth: and no oppressor shall pass through them any more: for now have I seen with mine eyes.	compound_or_lexicalized	lexicalized_or_category_mixed	blocked_noise	Best available difficult-case row from a lexicalized or category-mixed family.	category_mismatch Current evidence behaves as lexicalized or category-mixed rather than as a clean pedagogical stem pair. Blocked noisy material includes huh, hu, huhna, huhin. Present in the stem packet, but absent from VERB_STEM_PAIRS. This pair is currently treated as lexicalized or category-mixed rather than as simple stem evidence. Derived or lexicalized environments stay excluded at the row level even when the pair is retained for review.
hu-huh	form_ii	Zephaniah 3:12	36003012	13	huhna	huhna	huh-na	blow-NMLZ	huh	N	a keima tungah [huhna] hong ngen ding	I will also leave in the midst of thee an afflicted and poor people, and they shall trust in the name of the LORD .	compound_or_lexicalized	lexicalized_or_category_mixed	blocked_noise	Best available difficult-case row from a lexicalized or category-mixed family.	category_mismatch Current evidence behaves as lexicalized or category-mixed rather than as a clean pedagogical stem pair. Blocked noisy material includes huh, hu, huhna, huhin. Present in the stem packet, but absent from VERB_STEM_PAIRS. This pair is currently treated as lexicalized or category-mixed rather than as simple stem evidence. Derived or lexicalized environments stay excluded at the row level even when the pair is retained for review.
husia-husiat	form_i	Revelation 16:18	66016018	23	husia	husia	husia	destruction	husia	V	khempeuh lakah a [husia] pen ahih manin	And there were voices, and thunders, and lightnings; and there was a great earthquake, such as was not since men were upon the earth, so mighty an earthquake, and so great.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best clean verbal form i row after lexical-category filtering.	no_clean_form_ii_verb_example No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
keu-keuh	form_i	Psalms 90:6	19090006	9	keu	keu	keu	dry	keu	N	ciangin vulin a [keu] uh hi	In the morning it flourisheth, and groweth up; In the evening it is cut down, and withereth.	finite_main_or_matrix	noun_or_nominal_compound	blocked_nonverbal	Best available audit row for a blocked nominal or compound-like analyzer pair.	nominal_or_compound_examples_only Blocked noisy material includes keusak, keutumsak, keuhsak, keusakin. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
keu-keuh	form_ii	Isaiah 34:15	23034015	9	keuh	keuh	keuh	dig	keu	N	tua lai-ah tui-in [keuh] ding a ama	There shall the great owl make her nest, and lay, and hatch, and gather under her shadow: there shall the vultures also be gathered, every one with her mate.	finite_main_or_matrix	noun_or_nominal_compound	blocked_nonverbal	Best available audit row for a blocked nominal or compound-like analyzer pair.	nominal_or_compound_examples_only Blocked noisy material includes keusak, keutumsak, keuhsak, keusakin. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
khai-khaih	form_i	Psalms 74:4	19074004	14	khai	khai	khai	hang	khai	N	lim dingin a [khai] uh hi	Thine enemies roar in the midst of thy congregations; They set up their ensigns for signs.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best currently available audit row pending manual philological review.	no_clean_form_i_verb_example Blocked noisy material includes khaisak, kikhailupsak. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
khai-khaih	form_ii	Proverbs 9:2	20009002	8	khaih	khaih	khaih	hold	khai	N	sa go-in leenggahzu [khaih] a annekna ding	She hath killed her beasts; she hath mingled her wine; She hath also furnished her table.	unknown_or_needs_review	lexical_verb	descriptive_with_caveat	Best currently available audit row pending manual philological review.	no_clean_form_i_verb_example Blocked noisy material includes khaisak, kikhailupsak. No conservative local environment rule fired for this token. Review-bucket rows never count as print-ready evidence.
khawl-khawl	form_i	Zechariah 1:8	38001008	20	khawl	khawl	khawl	rest	khawl	V	singkungte lakah amah [khawl] a ama nungah	I saw by night, and behold a man riding upon a red horse, and he stood among the myrtle trees that were in the bottom; and behind him were there red horses, speckled, and white.	finite_main_or_matrix	same_form_questionnaire_control	questionnaire_control	Best Bible attestation for a same-form questionnaire control.	same_written_form_no_overt_alternation Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II. Questionnaire-only exact-form scan; not part of the analyzer pair inventory. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Questionnaire maps the same surface form to both slots.
khen-khen	form_i	Romans 9:28	45009028	11	khen	khen	khen	divide	khen	V	mite thu hong [khen] baih ding hi,”	for he will finish the work, and cut it short in righteousness: because a short work will the Lord make upon the earth.	finite_main_or_matrix	same_form_questionnaire_control	questionnaire_control	Best Bible attestation for a same-form questionnaire control.	same_written_form_no_overt_alternation Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II. Questionnaire-only exact-form scan; not part of the analyzer pair inventory. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Questionnaire maps the same surface form to both slots.
khial-khialh	form_i	Zephaniah 1:17	36001017	29	khial	khial	khial	err	khial	V	tungah amaute hong [khial] uh ahih manin	And I will bring distress upon men, that they shall walk like blind men, because they have sinned against the LORD : and their blood shall be poured out as dust, and their flesh as the dung.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best clean verbal form i row after lexical-category filtering.	needs_manual_philological_review Blocked noisy material includes khialsak, khialhsakna, khialhsak, khialsakin. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
khial-khialh	form_ii	Romans 5:14	45005014	23	khialh	khialh	khialh	sin	khial	V	loh manin a [khialh] bangin a khial	Nevertheless death reigned from Adam to Moses, even over them that had not sinned after the similitude of Adam's transgression, who is the figure of him that was to come.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best clean verbal form ii row after lexical-category filtering.	needs_manual_philological_review Blocked noisy material includes khialsak, khialhsakna, khialhsak, khialsakin. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
kho-khoh	form_i	Zechariah 13:3	38013003	16	kho	kho	kho	labor	kho	V	pa mahmah in [kho] ding uh a	And it shall come to pass, that when any shall yet prophesy, then his father and his mother that begat him shall say unto him, Thou shalt not live; for thou speakest lies in the name of the LORD : and his father and his mother that begat him shall thrust him through when he prophesieth.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best clean verbal form i row after lexical-category filtering.	needs_manual_philological_review Blocked noisy material includes khosak, khohsaksa. Form I stem `kho` participates in multiple analyzer pairs (kho-khoh, kho-khot); counted under canonical pair kho-khoh. Alternate Form II analyses remain visible in pair summary notes: kho-khot. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
kho-khoh	form_ii	Jeremiah 36:25	24036025	13	khoh	khoh	khoh	labor	kho	N	loh nading a [khoh] uh hangin amah	Nevertheless Elnathan and Delaiah and Gemariah had made intercession to the king that he would not burn the roll: but he would not hear them.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best currently available audit row pending manual philological review.	needs_manual_philological_review Blocked noisy material includes khosak, khohsaksa. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
kho-khot	form_ii	Matthew 19:21	40019021	15	khotte	khotte	khot-te	labor.II-PL	kho	N	inla na sum [khotte] mizawngte tungah va	Jesus said unto him, If thou wilt be perfect, go and sell that thou hast, and give to the poor, and thou shalt have treasure in heaven: and come and follow me.	unknown_or_needs_review	analyzer_only_uncertain	needs_manual_review	Best currently available audit row pending manual philological review.	analyzer_pair_only No conservative local environment rule fired for this token. Review-bucket rows never count as print-ready evidence.
khua-khuat	form_i	Jeremiah 51:49	24051049	1	khua	khua	khua	town	khua	N	Babylon [khua] in leitung khempeuhah	As Babylon hath caused the slain of Israel to fall, so at Babylon shall fall the slain of all the earth.	imperative_or_directive	noun_or_nominal_compound	blocked_nonverbal	Best available audit row for a blocked nominal or compound-like analyzer pair.	nominal_or_compound_examples_only A following imperative-like particle may indicate directive force. Row status is capped by the pair-level publication status.
khua-khuat	form_ii	Job 39:21	18039021	7	khuat	khuat	khuat	town	khua	N	a khe-un lei [khuat] uh a a	He paweth in the valley, and rejoiceth in his strength: He goeth on to meet the armed men.	finite_main_or_matrix	noun_or_nominal_compound	blocked_nonverbal	Best available audit row for a blocked nominal or compound-like analyzer pair.	nominal_or_compound_examples_only No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
khum-khum	form_i	Song of Solomon 7:9	22007009	4	khum	khum	khum	cover	khum	V	kam leenggahzu bangin [khum] zungzung hi Ka	And the roof of thy mouth like the best wine For my beloved, that goeth down sweetly, Causing the lips of those that are asleep to speak.	finite_main_or_matrix	same_form_questionnaire_control	questionnaire_control	Best Bible attestation for a same-form questionnaire control.	same_written_form_no_overt_alternation Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II. Questionnaire-only exact-form scan; not part of the analyzer pair inventory. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Questionnaire maps the same surface form to both slots.
kia-kiak	form_i	Song of Solomon 5:2	22005002	31	kia	kia	kia	fall	kia	V	lu tungah daingo [kia] a meiizun in	I sleep, but my heart waketh: It is the voice of my beloved that knocketh, saying , Open to me, my sister, my love, My dove, my undefiled: For my head is filled with dew, And my locks with the drops of the night.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best clean verbal form i row after lexical-category filtering.	needs_manual_philological_review Blocked noisy material includes kiasak, lungkiasak, kiasakin. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
kia-kiak	form_ii	Proverbs 24:31	20024031	8	kiak	kiak	ki-ak	REFL-exalt	ak	V	lo ciing bupah [kiak] dim a a	And, lo, it was all grown over with thorns, And nettles had covered the face thereof, And the stone wall thereof was broken down.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best clean verbal form ii row after lexical-category filtering.	needs_manual_philological_review Blocked noisy material includes kiasak, lungkiasak, kiasakin. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
kido-kidot	form_i	Numbers 10:9	04010009	12	kido	kido	kido	fight	kido	V	uh tawh na [kido] ding uh ciangin	And if ye go to war in your land against the enemy that oppresseth you, then ye shall blow an alarm with the trumpets; and ye shall be remembered before the LORD your God, and ye shall be saved from your enemies.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best clean verbal form i row after lexical-category filtering.	no_clean_form_ii_verb_example No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
kido-kidot	form_ii	John 16:19	43016019	13	kidot	kidot	kidot	fight	kido	N	“Note khatlekhat na [kidot] uh Tawlkhat khit	Now Jesus knew that they were desirous to ask him, and said unto them, Do ye enquire among yourselves of that I said, A little while, and ye shall not see me: and again, a little while, and ye shall see me?	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best currently available audit row pending manual philological review.	no_clean_form_ii_verb_example No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
lampi-lampih	form_i	Psalms 35:6	19035006	5	lampi	lampi	lam-pi	road	lam	N	delhna-ah a taina [lampi] uh mialin nalsak	Let their way be dark and slippery: And let the angel of the LORD persecute them.	finite_main_or_matrix	noun_or_nominal_compound	blocked_nonverbal	Best available audit row for a blocked nominal or compound-like analyzer pair.	nominal_or_compound_examples_only No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
lampi-lampih	form_ii	Psalms 127:1	19127001	3	lampih	lampih	lampih	way	lampi	N	Topa in inn [lampih] kei leh innlamte	Except the LORD build the house, They labour in vain that build it: Except the LORD keep the city, The watchman waketh but in vain.	negative_clause	noun_or_nominal_compound	blocked_nonverbal	Best available audit row for a blocked nominal or compound-like analyzer pair.	nominal_or_compound_examples_only Nearby negative material marks a negative or irrealis-heavy clause. Row status is capped by the pair-level publication status.
lei-lei	form_i	Proverbs 31:16	20031016	16	lei	lei	lei	buy	lei	N	lo ding a [lei] hi	She considereth a field, and buyeth it: With the fruit of her hands she planteth a vineyard.	finite_main_or_matrix	same_form_questionnaire_control	questionnaire_control	Best Bible attestation for a same-form questionnaire control.	same_written_form_no_overt_alternation Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II. Questionnaire-only exact-form scan; not part of the analyzer pair inventory. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Questionnaire maps the same surface form to both slots.
lian-lian	form_i	Psalms 76:1	19076001	11	lian	lian	lian	great	lian	ADJ	sungah ama min [lian] hi	In Judah is God known: His name is great in Israel.	finite_main_or_matrix	same_form_questionnaire_control	questionnaire_control	Best Bible attestation for a same-form questionnaire control.	same_written_form_no_overt_alternation Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II. Questionnaire-only exact-form scan; not part of the analyzer pair inventory. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Questionnaire maps the same surface form to both slots.
lua-luah	form_i	Song of Solomon 6:5	22006005	11	lua	lua	lua	exceed	lua	N	in hong leng [lua] hi Gilead mual	Turn away thine eyes from me, For they have overcome me: Thy hair is as a flock of goats That appear from Gilead.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best currently available audit row pending manual philological review.	no_clean_form_i_verb_example Blocked noisy material includes luahsak, luahkhawmsak. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
lua-luah	form_ii	Zephaniah 2:7	36002007	8	luah	luah	luah	carry	lua	V	na gam sung [luah] ding uh a	And the coast shall be for the remnant of the house of Judah; they shall feed thereupon: in the houses of Ashkelon shall they lie down in the evening: for the LORD their God shall visit them, and turn away their captivity.	finite_main_or_matrix	lexical_verb	descriptive_with_caveat	Best clean verbal form ii row after lexical-category filtering.	no_clean_form_i_verb_example Blocked noisy material includes luahsak, luahkhawmsak. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status.
mu-muh	form_i	Genesis 1:4	01001004	8	mu	mu	mu	see.I	mu	V	hi ci-in a [mu] hi Pasian in	And God saw the light, that it was good: and God divided the light from the darkness.	finite_main_or_matrix	lexical_verb	print_ready	Best clean verbal form i row after lexical-category filtering.	Blocked noisy material includes muhsak, musakkik, ihmusak, muatsak. Form I stem `mu` participates in multiple analyzer pairs (mu-muh, mu-muk); counted under canonical pair mu-muh. Alternate Form II analyses remain visible in pair summary notes: mu-muk. No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Accepted candidate TSV evidence can inherit the pair's editorial status.
mu-muh	form_ii	Genesis 19:1	01019001	20	muh	muh	muh	see.II	mu	V	in amaute a [muh] ciangin amaute a	And there came two angels to Sodom at even; and Lot sat in the gate of Sodom: and Lot seeing them rose up to meet them; and he bowed himself with his face toward the ground;	dependent_temporal_ciangin	lexical_verb	print_usable_with_caveat	Best clean verbal form ii row after lexical-category filtering.	Blocked noisy material includes muhsak, musakkik, ihmusak, muatsak. Immediate following `ciangin` provides a conservative dependent-temporal cue. This exact row is a manually checked review example kept as caveated evidence in the packet.
